step,time,x,y,z,roll,pitch,yaw,p_gain_mult,seed
0,0.0,0.0,0.0,0.09982986003160477,0.0,-0.0,0.0,1.0,123
1,0.004166666666666667,0.0,0.0,0.09974229335784912,0.0,-0.0,0.0,1.0,123
2,0.008333333333333333,0.0,0.0,0.0997372642159462,0.0,-0.0,0.0,1.0,123
3,0.0125,0.0,0.0,0.0998147502541542,0.0,-0.0,0.0,1.0,123
4,0.016666666666666666,0.0,0.0,0.09997471421957016,0.0,-0.0,0.0,1.0,123
5,0.020833333333333332,0.0,0.0,0.10021713376045227,0.0,-0.0,0.0,1.0,123
6,0.025,0.0,0.0,0.10054197907447815,0.0,-0.0,0.0,1.0,123
7,0.029166666666666667,0.0,0.0,0.10094922035932541,0.0,-0.0,0.0,1.0,123
8,0.03333333333333333,0.0,0.0,0.10143882781267166,0.0,-0.0,0.0,1.0,123
9,0.0375,0.0,0.0,0.10201077163219452,0.0,-0.0,0.0,1.0,123
10,0.041666666666666664,0.0,0.0,0.1026650220155716,0.0,-0.0,0.0,1.0,123
11,0.04583333333333333,0.0,0.0,0.1034015491604805,0.0,-0.0,0.0,1.0,123
12,0.05,0.0,0.0,0.10422030836343765,0.0,-0.0,0.0,1.0,123
13,0.05416666666666667,0.0,0.0,0.10512128472328186,0.0,-0.0,0.0,1.0,123
14,0.058333333333333334,0.0,0.0,0.10610443353652954,0.0,-0.0,0.0,1.0,123
15,0.0625,0.0,0.0,0.1071697250008583,0.0,-0.0,0.0,1.0,123
16,0.06666666666666667,0.0,0.0,0.10831712186336517,0.0,-0.0,0.0,1.0,123
17,0.07083333333333333,0.0,0.0,0.10954658687114716,0.0,-0.0,0.0,1.0,123
18,0.075,0.0,0.0,0.11085809022188187,0.0,-0.0,0.0,1.0,123
19,0.07916666666666666,0.0,0.0,0.11225160211324692,0.0,-0.0,0.0,1.0,123
20,0.08333333333333333,0.0,0.0,0.11372707039117813,0.0,-0.0,0.0,1.0,123
21,0.0875,0.0,0.0,0.11528447270393372,0.0,-0.0,0.0,1.0,123
22,0.09166666666666666,0.0,0.0,0.11692376434803009,0.0,-0.0,0.0,1.0,123
23,0.09583333333333334,0.0,0.0,0.11864490807056427,0.0,-0.0,0.0,1.0,123
24,0.1,0.0,0.0,0.12044786661863327,0.0,-0.0,0.0,1.0,123
25,0.10416666666666667,0.0,0.0,0.1223326027393341,0.0,-0.0,0.0,1.0,123
26,0.10833333333333334,0.0,0.0,0.1242990717291832,0.0,-0.0,0.0,1.0,123
27,0.1125,0.0,0.0,0.12634722888469696,0.0,-0.0,0.0,1.0,123
28,0.11666666666666667,0.0,0.0,0.1284770518541336,0.0,-0.0,0.0,1.0,123
29,0.12083333333333333,0.0,0.0,0.13068848848342896,0.0,-0.0,0.0,1.0,123
30,0.125,0.0,0.0,0.13298149406909943,0.0,-0.0,0.0,1.0,123
31,0.12916666666666668,0.0,0.0,0.13535603880882263,0.0,-0.0,0.0,1.0,123
32,0.13333333333333333,0.0,0.0,0.1378120630979538,0.0,-0.0,0.0,1.0,123
33,0.1375,0.0,0.0,0.14034953713417053,0.0,-0.0,0.0,1.0,123
34,0.14166666666666666,0.0,0.0,0.14296841621398926,0.0,-0.0,0.0,1.0,123
35,0.14583333333333334,0.0,0.0,0.1456686556339264,0.0,-0.0,0.0,1.0,123
36,0.15,0.0,0.0,0.14845019578933716,0.0,-0.0,0.0,1.0,123
37,0.15416666666666667,0.0,0.0,0.15131302177906036,0.0,-0.0,0.0,1.0,123
38,0.15833333333333333,0.0,0.0,0.15425705909729004,0.0,-0.0,0.0,1.0,123
39,0.1625,0.0,0.0,0.1572822779417038,0.0,-0.0,0.0,1.0,123
40,0.16666666666666666,0.0,0.0,0.16038861870765686,0.0,-0.0,0.0,1.0,123
41,0.17083333333333334,0.0,0.0,0.16357603669166565,0.0,-0.0,0.0,1.0,123
42,0.175,0.0,0.0,0.16684450209140778,0.0,-0.0,0.0,1.0,123
43,0.17916666666666667,0.0,0.0,0.17019395530223846,0.0,-0.0,0.0,1.0,123
44,0.18333333333333332,0.0,0.0,0.17362433671951294,0.0,-0.0,0.0,1.0,123
45,0.1875,0.0,0.0,0.1771356165409088,0.0,-0.0,0.0,1.0,123
46,0.19166666666666668,0.0,0.0,0.1807277351617813,0.0,-0.0,0.0,1.0,123
47,0.19583333333333333,0.0,0.0,0.18440064787864685,0.0,-0.0,0.0,1.0,123
48,0.2,0.0,0.0,0.18815430998802185,0.0,-0.0,0.0,1.0,123
49,0.20416666666666666,0.0,0.0,0.19198866188526154,0.0,-0.0,0.0,1.0,123
50,0.20833333333333334,0.0,0.0,0.19590364396572113,0.0,-0.0,0.0,1.0,123
51,0.2125,0.0,0.0,0.19989919662475586,0.0,-0.0,0.0,1.0,123
52,0.21666666666666667,0.0,0.0,0.20397529006004333,0.0,-0.0,0.0,1.0,123
53,0.22083333333333333,0.0,0.0,0.20813186466693878,0.0,-0.0,0.0,1.0,123
54,0.225,0.0,0.0,0.21236886084079742,0.0,-0.0,0.0,1.0,123
55,0.22916666666666666,0.0,0.0,0.21668623387813568,0.0,-0.0,0.0,1.0,123
56,0.23333333333333334,0.0,0.0,0.22108392417430878,0.0,-0.0,0.0,1.0,123
57,0.2375,0.0,0.0,0.22556187212467194,0.0,-0.0,0.0,1.0,123
58,0.24166666666666667,0.0,0.0,0.23012003302574158,0.0,-0.0,0.0,1.0,123
59,0.24583333333333332,0.0,0.0,0.23475834727287292,0.0,-0.0,0.0,1.0,123
60,0.25,0.0,0.0,0.2394767552614212,0.0,-0.0,0.0,1.0,123
61,0.25416666666666665,0.0,0.0,0.24427519738674164,0.0,-0.0,0.0,1.0,123
62,0.25833333333333336,0.0,0.0,0.24915361404418945,0.0,-0.0,0.0,1.0,123
63,0.2625,0.0,0.0,0.2541119456291199,0.0,-0.0,0.0,1.0,123
64,0.26666666666666666,0.0,0.0,0.2591501772403717,0.0,-0.0,0.0,1.0,123
65,0.2708333333333333,0.0,0.0,0.2642682194709778,0.0,-0.0,0.0,1.0,123
66,0.275,0.0,0.0,0.26946598291397095,0.0,-0.0,0.0,1.0,123
67,0.2791666666666667,0.0,0.0,0.2747434377670288,0.0,-0.0,0.0,1.0,123
68,0.2833333333333333,0.0,0.0,0.2801005244255066,0.0,-0.0,0.0,1.0,123
69,0.2875,0.0,0.0,0.28553715348243713,0.0,-0.0,0.0,1.0,123
70,0.2916666666666667,0.0,0.0,0.29105332493782043,0.0,-0.0,0.0,1.0,123
71,0.29583333333333334,0.0,0.0,0.29664894938468933,0.0,-0.0,0.0,1.0,123
72,0.3,0.0,0.0,0.30232393741607666,0.0,-0.0,0.0,1.0,123
73,0.30416666666666664,0.0,0.0,0.30807825922966003,0.0,-0.0,0.0,1.0,123
74,0.30833333333333335,0.0,0.0,0.3139118254184723,0.0,-0.0,0.0,1.0,123
75,0.3125,0.0,0.0,0.31982460618019104,0.0,-0.0,0.0,1.0,123
76,0.31666666666666665,0.0,0.0,0.3258165121078491,0.0,-0.0,0.0,1.0,123
77,0.32083333333333336,0.0,0.0,0.33188748359680176,0.0,-0.0,0.0,1.0,123
78,0.325,0.0,0.0,0.3380374312400818,0.0,-0.0,0.0,1.0,123
79,0.32916666666666666,0.0,0.0,0.3442663252353668,0.0,-0.0,0.0,1.0,123
80,0.3333333333333333,0.0,0.0,0.3505740761756897,0.0,-0.0,0.0,1.0,123
81,0.3375,0.0,0.0,0.356960654258728,0.0,-0.0,0.0,1.0,123
82,0.3416666666666667,0.0,0.0,0.36342597007751465,0.0,-0.0,0.0,1.0,123
83,0.3458333333333333,0.0,0.0,0.3699699342250824,0.0,-0.0,0.0,1.0,123
84,0.35,0.0,0.0,0.3765925168991089,0.0,-0.0,0.0,1.0,123
85,0.3541666666666667,0.0,0.0,0.38329362869262695,0.0,-0.0,0.0,1.0,123
86,0.35833333333333334,0.0,0.0,0.3900732398033142,0.0,-0.0,0.0,1.0,123
87,0.3625,0.0,0.0,0.3969312608242035,0.0,-0.0,0.0,1.0,123
88,0.36666666666666664,0.0,0.0,0.40386757254600525,0.0,-0.0,0.0,1.0,123
89,0.37083333333333335,0.0,0.0,0.4108821749687195,0.0,-0.0,0.0,1.0,123
90,0.375,0.0,0.0,0.41797497868537903,0.0,-0.0,0.0,1.0,123
91,0.37916666666666665,0.0,0.0,0.4251342713832855,0.0,-0.0,0.0,1.0,123
92,0.38333333333333336,0.0,0.0,0.43234339356422424,0.0,-0.0,0.0,1.0,123
