step,time,x,y,z,roll,pitch,yaw,p_gain_mult,seed
0,0.0,0.0,0.0,0.09982986003160477,0.0,-0.0,0.0,1.2,42
1,0.004166666666666667,0.0,0.0,0.09974229335784912,0.0,-0.0,0.0,1.2,42
2,0.008333333333333333,0.0,0.0,0.0997372642159462,0.0,-0.0,0.0,1.2,42
3,0.0125,0.0,0.0,0.0998147502541542,0.0,-0.0,0.0,1.2,42
4,0.016666666666666666,0.0,0.0,0.09997471421957016,0.0,-0.0,0.0,1.2,42
5,0.020833333333333332,0.0,0.0,0.10021713376045227,0.0,-0.0,0.0,1.2,42
6,0.025,0.0,0.0,0.10054197907447815,0.0,-0.0,0.0,1.2,42
7,0.029166666666666667,0.0,0.0,0.10094922035932541,0.0,-0.0,0.0,1.2,42
8,0.03333333333333333,0.0,0.0,0.10143882781267166,0.0,-0.0,0.0,1.2,42
9,0.0375,0.0,0.0,0.10201077163219452,0.0,-0.0,0.0,1.2,42
10,0.041666666666666664,0.0,0.0,0.1026650220155716,0.0,-0.0,0.0,1.2,42
11,0.04583333333333333,0.0,0.0,0.1034015491604805,0.0,-0.0,0.0,1.2,42
12,0.05,0.0,0.0,0.10422030836343765,0.0,-0.0,0.0,1.2,42
13,0.05416666666666667,0.0,0.0,0.10512128472328186,0.0,-0.0,0.0,1.2,42
14,0.058333333333333334,0.0,0.0,0.10610443353652954,0.0,-0.0,0.0,1.2,42
15,0.0625,0.0,0.0,0.1071697250008583,0.0,-0.0,0.0,1.2,42
16,0.06666666666666667,0.0,0.0,0.10831712186336517,0.0,-0.0,0.0,1.2,42
17,0.07083333333333333,0.0,0.0,0.10954658687114716,0.0,-0.0,0.0,1.2,42
18,0.075,0.0,0.0,0.11085809022188187,0.0,-0.0,0.0,1.2,42
19,0.07916666666666666,0.0,0.0,0.11225160211324692,0.0,-0.0,0.0,1.2,42
20,0.08333333333333333,0.0,0.0,0.11372707039117813,0.0,-0.0,0.0,1.2,42
21,0.0875,0.0,0.0,0.11528447270393372,0.0,-0.0,0.0,1.2,42
22,0.09166666666666666,0.0,0.0,0.11692376434803009,0.0,-0.0,0.0,1.2,42
23,0.09583333333333334,0.0,0.0,0.11864490807056427,0.0,-0.0,0.0,1.2,42
24,0.1,0.0,0.0,0.12044786661863327,0.0,-0.0,0.0,1.2,42
25,0.10416666666666667,0.0,0.0,0.1223326027393341,0.0,-0.0,0.0,1.2,42
26,0.10833333333333334,0.0,0.0,0.1242990717291832,0.0,-0.0,0.0,1.2,42
27,0.1125,0.0,0.0,0.12634722888469696,0.0,-0.0,0.0,1.2,42
28,0.11666666666666667,0.0,0.0,0.1284770518541336,0.0,-0.0,0.0,1.2,42
29,0.12083333333333333,0.0,0.0,0.13068848848342896,0.0,-0.0,0.0,1.2,42
30,0.125,0.0,0.0,0.13298149406909943,0.0,-0.0,0.0,1.2,42
31,0.12916666666666668,0.0,0.0,0.13535603880882263,0.0,-0.0,0.0,1.2,42
32,0.13333333333333333,0.0,0.0,0.1378120630979538,0.0,-0.0,0.0,1.2,42
33,0.1375,0.0,0.0,0.14034953713417053,0.0,-0.0,0.0,1.2,42
34,0.14166666666666666,0.0,0.0,0.14296841621398926,0.0,-0.0,0.0,1.2,42
35,0.14583333333333334,0.0,0.0,0.1456686556339264,0.0,-0.0,0.0,1.2,42
36,0.15,0.0,0.0,0.14845019578933716,0.0,-0.0,0.0,1.2,42
37,0.15416666666666667,0.0,0.0,0.15131302177906036,0.0,-0.0,0.0,1.2,42
38,0.15833333333333333,0.0,0.0,0.15425705909729004,0.0,-0.0,0.0,1.2,42
39,0.1625,0.0,0.0,0.1572822779417038,0.0,-0.0,0.0,1.2,42
40,0.16666666666666666,0.0,0.0,0.16038861870765686,0.0,-0.0,0.0,1.2,42
41,0.17083333333333334,0.0,0.0,0.16357603669166565,0.0,-0.0,0.0,1.2,42
42,0.175,0.0,0.0,0.16684450209140778,0.0,-0.0,0.0,1.2,42
43,0.17916666666666667,0.0,0.0,0.17019395530223846,0.0,-0.0,0.0,1.2,42
44,0.18333333333333332,0.0,0.0,0.17362433671951294,0.0,-0.0,0.0,1.2,42
45,0.1875,0.0,0.0,0.1771356165409088,0.0,-0.0,0.0,1.2,42
46,0.19166666666666668,0.0,0.0,0.1807277351617813,0.0,-0.0,0.0,1.2,42
47,0.19583333333333333,0.0,0.0,0.18440064787864685,0.0,-0.0,0.0,1.2,42
48,0.2,0.0,0.0,0.18815430998802185,0.0,-0.0,0.0,1.2,42
49,0.20416666666666666,0.0,0.0,0.19198866188526154,0.0,-0.0,0.0,1.2,42
50,0.20833333333333334,0.0,0.0,0.19590364396572113,0.0,-0.0,0.0,1.2,42
51,0.2125,0.0,0.0,0.19989919662475586,0.0,-0.0,0.0,1.2,42
52,0.21666666666666667,0.0,0.0,0.20397529006004333,0.0,-0.0,0.0,1.2,42
53,0.22083333333333333,0.0,0.0,0.20813186466693878,0.0,-0.0,0.0,1.2,42
54,0.225,0.0,0.0,0.21236886084079742,0.0,-0.0,0.0,1.2,42
55,0.22916666666666666,0.0,0.0,0.21668623387813568,0.0,-0.0,0.0,1.2,42
56,0.23333333333333334,0.0,0.0,0.22108392417430878,0.0,-0.0,0.0,1.2,42
57,0.2375,0.0,0.0,0.22556187212467194,0.0,-0.0,0.0,1.2,42
58,0.24166666666666667,0.0,0.0,0.23012003302574158,0.0,-0.0,0.0,1.2,42
59,0.24583333333333332,0.0,0.0,0.23475834727287292,0.0,-0.0,0.0,1.2,42
60,0.25,0.0,0.0,0.2394767552614212,0.0,-0.0,0.0,1.2,42
61,0.25416666666666665,0.0,0.0,0.24427519738674164,0.0,-0.0,0.0,1.2,42
62,0.25833333333333336,0.0,0.0,0.24915361404418945,0.0,-0.0,0.0,1.2,42
63,0.2625,0.0,0.0,0.2541119456291199,0.0,-0.0,0.0,1.2,42
64,0.26666666666666666,0.0,0.0,0.2591501772403717,0.0,-0.0,0.0,1.2,42
65,0.2708333333333333,0.0,0.0,0.2642682194709778,0.0,-0.0,0.0,1.2,42
66,0.275,0.0,0.0,0.26946598291397095,0.0,-0.0,0.0,1.2,42
67,0.2791666666666667,0.0,0.0,0.2747434377670288,0.0,-0.0,0.0,1.2,42
68,0.2833333333333333,0.0,0.0,0.2801005244255066,0.0,-0.0,0.0,1.2,42
69,0.2875,0.0,0.0,0.28553715348243713,0.0,-0.0,0.0,1.2,42
70,0.2916666666666667,0.0,0.0,0.29105332493782043,0.0,-0.0,0.0,1.2,42
71,0.29583333333333334,0.0,0.0,0.29664894938468933,0.0,-0.0,0.0,1.2,42
72,0.3,0.0,0.0,0.30232393741607666,0.0,-0.0,0.0,1.2,42
73,0.30416666666666664,0.0,0.0,0.30807825922966003,0.0,-0.0,0.0,1.2,42
74,0.30833333333333335,0.0,0.0,0.3139118254184723,0.0,-0.0,0.0,1.2,42
75,0.3125,0.0,0.0,0.31982460618019104,0.0,-0.0,0.0,1.2,42
76,0.31666666666666665,0.0,0.0,0.3258165121078491,0.0,-0.0,0.0,1.2,42
77,0.32083333333333336,0.0,0.0,0.33188748359680176,0.0,-0.0,0.0,1.2,42
78,0.325,0.0,0.0,0.3380374312400818,0.0,-0.0,0.0,1.2,42
79,0.32916666666666666,0.0,0.0,0.3442663252353668,0.0,-0.0,0.0,1.2,42
80,0.3333333333333333,0.0,0.0,0.3505740761756897,0.0,-0.0,0.0,1.2,42
81,0.3375,0.0,0.0,0.356960654258728,0.0,-0.0,0.0,1.2,42
82,0.3416666666666667,0.0,0.0,0.36342597007751465,0.0,-0.0,0.0,1.2,42
83,0.3458333333333333,0.0,0.0,0.3699699342250824,0.0,-0.0,0.0,1.2,42
84,0.35,0.0,0.0,0.3765925168991089,0.0,-0.0,0.0,1.2,42
85,0.3541666666666667,0.0,0.0,0.38329362869262695,0.0,-0.0,0.0,1.2,42
86,0.35833333333333334,0.0,0.0,0.3900732398033142,0.0,-0.0,0.0,1.2,42
87,0.3625,0.0,0.0,0.3969312608242035,0.0,-0.0,0.0,1.2,42
88,0.36666666666666664,0.0,0.0,0.40386757254600525,0.0,-0.0,0.0,1.2,42
89,0.37083333333333335,0.0,0.0,0.4108821749687195,0.0,-0.0,0.0,1.2,42
90,0.375,0.0,0.0,0.41797497868537903,0.0,-0.0,0.0,1.2,42
91,0.37916666666666665,0.0,0.0,0.4251458942890167,0.0,-0.0,0.0,1.2,42
92,0.38333333333333336,0.0,0.0,0.4323948323726654,0.0,-0.0,0.0,1.2,42
93,0.3875,0.0,0.0,0.4397217631340027,0.0,-0.0,0.0,1.2,42
94,0.39166666666666666,0.0,0.0,0.4471265971660614,0.0,-0.0,0.0,1.2,42
95,0.3958333333333333,0.0,0.0,0.45460930466651917,0.0,-0.0,0.0,1.2,42
96,0.4,0.0,0.0,0.4621697664260864,0.0,-0.0,0.0,1.2,42
97,0.4041666666666667,0.0,0.0,0.469807893037796,0.0,-0.0,0.0,1.2,42
98,0.4083333333333333,0.0,0.0,0.47752365469932556,0.0,-0.0,0.0,1.2,42
99,0.4125,0.0,0.0,0.4853169620037079,0.0,-0.0,0.0,1.2,42
100,0.4166666666666667,0.0,0.0,0.4931793212890625,0.0,-0.0,0.0,1.2,42
101,0.42083333333333334,0.0,0.0,0.5010901689529419,0.0,-0.0,0.0,1.2,42
102,0.425,0.0,0.0,0.5090304613113403,0.0,-0.0,0.0,1.2,42
103,0.42916666666666664,0.0,0.0,0.5169826149940491,0.0,-0.0,0.0,1.2,42
104,0.43333333333333335,0.0,0.0,0.5249303579330444,0.0,-0.0,0.0,1.2,42
105,0.4375,0.0,0.0,0.532858669757843,0.0,-0.0,0.0,1.2,42
